n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,NF1 Recovery Error with BigClam,NF1 Recovery Error with M-NMF,NF1 Recovery Error with SLPA,NF1 Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,400,5,6,1,1,0.000158426,25,0.886,0.3,0.886,0.801777778,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,3,1,1,1,25,0.886,0.3,0.886,0.8525,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,60,0.003148148,0.030395502,9.19E-05,25,0.69,0.314,0.692,0.881818182,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,51,0.01078348,0.102292465,0.000296202,25,0.806,0.312,0.686,0.8245,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,42,0.034183423,0.338745958,0.000724386,25,0.776,0.314,0.886,0.806666667,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,30,0.141396891,1,0.001129464,25,0.776,0.308,0.886,0.8794,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,21,0.398781917,1,0.000311384,25,0.886,0.31,0.886,0.782,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,12,1,1,1.36E-12,25,0.886,0.302,0.886,0.816,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,6,1,1,0.000158426,25,0.886,0.3,0.886,0.801777778,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,3,1,1,1,25,0.886,0.3,0.886,0.8525,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,400,5,70,4.77E-06,0.000148659,2.18E-08,15,0.238,0.228,0.334,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,60,3.66E-05,0.001007541,1.93E-07,15,0.24,0.23,0.332,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.24,0.23,0.33,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,40,0.001398162,0.038239868,4.00E-06,15,0.238,0.234,0.514,0.23,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,30,0.006815932,0.231630788,5.25E-06,15,0.24,0.23,0.33,0.23,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,20,0.028510647,1,2.54E-07,15,0.238,0.21,0.33,0.246,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,10,0.181577545,1,8.69E-22,15,0.222,0.202,0.696,0.720634921,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,6,1,1,1.47E-11,15,0.224,0.202,0.462,0.841666667,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,2,1,0.011677077,1,15,0.904,0.2,0.904,0.845833333,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,70,4.77E-06,0.000148659,2.18E-08,15,0.238,0.228,0.334,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,60,3.66E-05,0.001007541,1.93E-07,15,0.24,0.23,0.332,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.24,0.23,0.33,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,40,0.001398162,0.038239868,4.00E-06,15,0.238,0.234,0.514,0.23,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,30,0.006815932,0.231630788,5.25E-06,15,0.24,0.23,0.33,0.23,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,20,0.028510647,1,2.54E-07,15,0.238,0.21,0.33,0.246,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,10,0.181577545,1,8.69E-22,15,0.222,0.202,0.696,0.720634921,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,6,1,1,1.47E-11,15,0.224,0.202,0.462,0.841666667,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,2,1,0.011677077,1,15,0.904,0.2,0.904,0.845833333,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,70,4.77E-06,0.000148659,2.18E-08,15,0.238,0.228,0.334,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,60,3.66E-05,0.001007541,1.93E-07,15,0.24,0.23,0.332,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
